"기준날짜","카메라코드","카메라명칭","설명","계수시작시간","계수끝시간","진입계수","진출계수","주간 진입계수","주간 진출계수","월간 진입계수","월간 진출계수","데이터입력시간"
"20191018","1","율곡로3길 50","덕성여고 앞","2019-10-18 23:40:37.147","2019-10-18 23:50:37.127","9992","8468","45002","36655","174801","162487","2019-10-18 23:50:37.127"
"20191017","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-17 23:40:38.744","2019-10-17 23:50:38.697","4680","5276","18056","20687","93683","111854","2019-10-17 23:50:38.697"
"20191017","3","북촌로11길 1","돈미약국 앞","2019-10-17 23:40:38.744","2019-10-17 23:50:38.7","8374","7401","31335","28235","145629","129442","2019-10-17 23:50:38.7"
"20191017","2","계동길 69","계동교회 앞","2019-10-17 23:40:38.744","2019-10-17 23:50:38.684","12369","15223","55230","64616","282534","316195","2019-10-17 23:50:38.684"
"20191017","1","율곡로3길 50","덕성여고 앞","2019-10-17 23:40:38.744","2019-10-17 23:50:38.694","9476","7729","35010","28187","164809","154019","2019-10-17 23:50:38.694"
"20191016","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-16 23:40:37.964","2019-10-16 23:50:37.858","4560","5290","13376","15411","89003","106578","2019-10-16 23:50:37.858"
"20191016","3","북촌로11길 1","돈미약국 앞","2019-10-16 23:40:37.964","2019-10-16 23:50:37.862","8120","7681","22961","20834","137255","122041","2019-10-16 23:50:37.862"
"20191016","2","계동길 69","계동교회 앞","2019-10-16 23:40:37.964","2019-10-16 23:50:37.83","13282","15541","42861","49393","270165","300972","2019-10-16 23:50:37.83"
"20191016","1","율곡로3길 50","덕성여고 앞","2019-10-16 23:40:37.964","2019-10-16 23:50:37.855","8361","6597","25534","20458","155333","146290","2019-10-16 23:50:37.855"
"20191015","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-15 23:40:36.323","2019-10-15 23:50:36.293","4026","4925","8816","10121","84443","101288","2019-10-15 23:50:36.293"
"20191015","3","북촌로11길 1","돈미약국 앞","2019-10-15 23:40:36.323","2019-10-15 23:50:36.3","7163","6197","14841","13153","129135","114360","2019-10-15 23:50:36.3"
"20191015","2","계동길 69","계동교회 앞","2019-10-15 23:40:36.323","2019-10-15 23:50:36.288","14575","16665","29579","33852","256883","285431","2019-10-15 23:50:36.288"
"20191015","1","율곡로3길 50","덕성여고 앞","2019-10-15 23:40:36.323","2019-10-15 23:50:36.297","8465","6684","17173","13861","146972","139693","2019-10-15 23:50:36.297"
"20191014","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-14 23:40:37.602","2019-10-14 23:50:37.66","4790","5196","4790","5196","80417","96363","2019-10-14 23:50:37.66"
"20191014","3","북촌로11길 1","돈미약국 앞","2019-10-14 23:40:37.602","2019-10-14 23:50:37.637","7678","6956","7678","6956","121972","108163","2019-10-14 23:50:37.637"
"20191014","2","계동길 69","계동교회 앞","2019-10-14 23:40:37.602","2019-10-14 23:50:37.663","15004","17187","15004","17187","242308","268766","2019-10-14 23:50:37.663"
"20191014","1","율곡로3길 50","덕성여고 앞","2019-10-14 23:40:37.602","2019-10-14 23:50:37.666","8708","7177","8708","7177","138507","133009","2019-10-14 23:50:37.666"
"20191013","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-13 23:40:38.292","2019-10-13 23:50:38.182","6481","7534","39004","46233","75627","91167","2019-10-13 23:50:38.182"
"20191013","3","북촌로11길 1","돈미약국 앞","2019-10-13 23:40:38.292","2019-10-13 23:50:38.164","10041","8736","57695","51000","114294","101207","2019-10-13 23:50:38.164"
"20191013","2","계동길 69","계동교회 앞","2019-10-13 23:40:38.292","2019-10-13 23:50:38.176","13205","14933","116359","129912","227304","251579","2019-10-13 23:50:38.176"
"20191013","1","율곡로3길 50","덕성여고 앞","2019-10-13 23:40:38.292","2019-10-13 23:50:38.179","9802","11483","67613","64732","129799","125832","2019-10-13 23:50:38.179"
"20191012","4","북촌로5가길 38","삼청파출소 사잇길","2019-10-12 23:40:36.845","2019-10-12 23:50:36.805","7849","9419","32523","38699","69146","83633","2019-10-12 23:50:36.805"
"20191012","3","북촌로11길 1","돈미약국 앞","2019-10-12 23:40:36.845","2019-10-12 23:50:36.81","10634","9486","47654","42264","104253","92471","2019-10-12 23:50:36.81"
"20191012","2","계동길 69","계동교회 앞","2019-10-12 23:40:36.845","2019-10-12 23:50:36.813","14070","15509","103154","114979","214099","236646","2019-10-12 23:50:36.813"
